week_start,VillageID,pred_cases
2024-01-01,6702200-005,0
2024-01-08,6702200-005,0
2024-01-01,6702200-006,0
2024-01-08,6702200-006,0
2024-01-01,6702200-007,0
2024-01-08,6702200-007,0
2024-01-01,6702300-001,0
2024-01-08,6702300-001,0
2024-01-01,6702300-002,0
2024-01-08,6702300-002,0
2024-01-01,6702300-003,0
2024-01-08,6702300-003,0
2024-01-01,6702300-004,0
2024-01-08,6702300-004,0
2024-01-01,6702300-005,0
2024-01-08,6702300-005,0
2024-01-01,6702300-006,0
2024-01-08,6702300-006,0
2024-01-01,6702300-007,0
2024-01-08,6702300-007,0
2024-01-01,6702300-008,0
2024-01-08,6702300-008,0
2024-01-01,6702300-009,0
2024-01-08,6702300-009,0
2024-01-01,6702300-010,0
2024-01-08,6702300-010,0
2024-01-01,6702400-001,0
2024-01-08,6702400-001,1
2024-01-01,6702400-002,0
2024-01-08,6702400-002,1
2024-01-01,6702400-003,0
2024-01-08,6702400-003,1
2024-01-01,6702400-004,0
2024-01-08,6702400-004,1
2024-01-01,6702400-005,0
2024-01-08,6702400-005,1
2024-01-01,6702400-006,0
2024-01-08,6702400-006,1
2024-01-01,6702400-007,0
2024-01-08,6702400-007,1
2024-01-01,6702500-001,0
2024-01-08,6702500-001,21
2024-01-01,6702500-002,0
2024-01-08,6702500-002,21
2024-01-01,6702500-003,0
2024-01-08,6702500-003,23
2024-01-01,6702500-004,0
2024-01-08,6702500-004,21
2024-01-01,6702500-005,0
2024-01-08,6702500-005,21
2024-01-01,6702500-006,0
2024-01-08,6702500-006,21
2024-01-01,6702500-007,0
2024-01-08,6702500-007,21
2024-01-01,6702500-008,0
2024-01-08,6702500-008,19
2024-01-01,6702500-009,0
2024-01-08,6702500-009,21
2024-01-01,6702600-001,0
2024-01-08,6702600-001,0
2024-01-01,6702600-002,0
2024-01-08,6702600-002,0
2024-01-01,6702600-003,0
2024-01-08,6702600-003,0
2024-01-01,6702600-004,0
2024-01-08,6702600-004,0
2024-01-01,6702600-005,0
2024-01-08,6702600-005,0
2024-01-01,6702600-006,0
2024-01-08,6702600-006,0
2024-01-01,6702600-007,0
2024-01-08,6702600-007,0
2024-01-01,6702600-008,0
2024-01-08,6702600-008,0
2024-01-01,6702600-009,0
