from,to,distance
6702400-002,6702400-001,5.284553050994873
6703400-010,6703400-021,0.5605209469795227
6700600-001,6700600-002,1.98784339427948
6702600-004,6702600-002,1.5494976043701172
6700600-004,6700600-007,2.571686267852783
6703500-007,6703500-050,1.1806557178497314
6700300-011,6700300-019,3.8427586555480957
6703200-018,6703200-002,0.48729097843170166
6701300-010,6701300-002,2.802896499633789
6701700-007,6701600-010,3.054311752319336
6702900-011,6702900-006,1.7851518392562866
6701800-017,6702600-010,4.747832298278809
6703200-029,6703200-016,0.3979152739048004
6700100-013,6700100-004,0.8527212142944336
6702100-012,6703500-004,1.9713319540023804
6701400-004,6701400-005,1.3514094352722168
6700700-029,6700700-005,1.2907060384750366
6703700-023,6703700-036,0.5486671924591064
6700900-003,6701000-003,1.804939866065979
6703400-003,6703400-031,0.2964439392089844
6701500-004,6701500-003,1.9084068536758423
6703500-022,6703500-048,2.377774953842163
6703200-001,6703200-011,0.6650884747505188
6703300-016,6703300-017,1.1819751262664795
6700100-001,6700100-007,0.9335311055183411
6703100-031,6703100-001,0.41545379161834717
6700300-010,6700300-009,3.673175573348999
6701300-003,6701300-012,3.964005708694458
6702800-015,6702900-016,2.1453773975372314
6701600-018,6701500-006,1.1473336219787598
6700700-014,6700700-003,1.1095244884490967
6700700-017,6700700-008,2.4210565090179443
6701800-005,6701800-006,0.2452462762594223
6701800-008,6701800-011,2.0580453872680664
6703300-030,6703300-036,1.5376226902008057
6702100-015,6702100-014,1.7398055791854858
6703200-038,6703700-006,0.7254340052604675
6703300-023,6703300-033,1.6948072910308838
6701700-008,6701300-013,1.3537861108779907
6700300-014,6700300-020,2.8604066371917725
6703500-001,6703500-002,1.7580790519714355
6700900-001,6700400-012,3.2371468544006348
6702100-008,6702100-011,2.01826810836792
6700700-003,6700700-002,0.6005933880805969
6702800-013,6702800-003,1.0154879093170166
6703600-012,6703600-011,0.7061685919761658
6703200-001,6703200-024,0.5900951027870178
6700700-021,6700700-019,1.0739822387695312
6703100-026,6703400-005,0.5366678237915039
6701000-009,6701000-006,1.393593430519104
6700100-022,6700400-001,2.5927646160125732
6703700-009,6703700-006,0.40965861082077026
6703600-008,6703600-013,1.097935676574707
6700700-017,6700700-021,2.087678909301758
6700200-009,6700100-023,2.0327138900756836
6703300-011,6703300-036,1.9662625789642334
6702300-001,6701100-009,4.554543972015381
6703400-037,6703700-017,0.3975730240345001
6703200-038,6703700-019,0.7243379354476929
6701500-017,6701500-012,3.3629393577575684
6702800-001,6702800-006,1.454415202140808
6703700-004,6703700-012,0.4510613977909088
6703500-004,6702100-012,1.9713319540023804
6703500-042,6703500-016,1.952787160873413
6701500-010,6701500-009,1.6373772621154785
6700300-016,6700500-005,1.5598158836364746
6700200-013,6700200-005,2.232788562774658
6703100-014,6703100-023,1.9736734628677368
6700200-006,6700200-002,0.4886455833911896
6701500-021,6701500-023,6.579646110534668
6700200-009,6700200-007,2.2003655433654785
6703300-020,6702700-016,3.0371828079223633
6701800-011,6701800-012,1.905365228652954
6701900-010,6701900-005,2.338941812515259
6702400-005,6702300-001,4.296278953552246
6703400-013,6703400-011,0.38774895668029785
