CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue
臺南市,1960,3,120.30,23.25,22.8547
臺南市,1960,3,120.30,23.30,22.8351
臺南市,1960,3,120.30,23.35,22.847
臺南市,1960,3,120.30,23.40,22.8459
臺南市,1960,3,120.35,22.90,23.5691
臺南市,1960,3,120.35,22.95,23.1931
臺南市,1960,3,120.35,23.00,23.0109
臺南市,1960,3,120.35,23.05,23.0372
臺南市,1960,3,120.35,23.10,22.939
臺南市,1960,3,120.35,23.15,22.8065
臺南市,1960,3,120.35,23.20,22.7622
臺南市,1960,3,120.35,23.25,22.8191
臺南市,1960,3,120.35,23.30,22.8352
臺南市,1960,3,120.35,23.35,22.831
臺南市,1960,3,120.35,23.40,22.8179
臺南市,1960,3,120.40,22.90,23.5577
臺南市,1960,3,120.40,22.95,23.1817
臺南市,1960,3,120.40,23.00,22.8282
臺南市,1960,3,120.40,23.05,22.9709
臺南市,1960,3,120.40,23.10,22.6615
臺南市,1960,3,120.40,23.15,22.6378
臺南市,1960,3,120.40,23.20,22.5166
臺南市,1960,3,120.40,23.25,22.4996
臺南市,1960,3,120.40,23.30,22.7299
臺南市,1960,3,120.40,23.35,22.7962
臺南市,1960,3,120.40,23.40,22.8072
臺南市,1960,3,120.45,22.95,23.2019
臺南市,1960,3,120.45,23.00,22.8615
臺南市,1960,3,120.45,23.05,22.9327
臺南市,1960,3,120.45,23.10,22.6824
臺南市,1960,3,120.45,23.15,22.4285
臺南市,1960,3,120.45,23.20,22.144
臺南市,1960,3,120.45,23.25,22.4023
臺南市,1960,3,120.45,23.30,22.4314
臺南市,1960,3,120.45,23.35,22.6157
臺南市,1960,3,120.45,23.40,22.6867
臺南市,1960,3,120.50,23.00,22.4093
臺南市,1960,3,120.50,23.05,21.7799
臺南市,1960,3,120.50,23.10,22.3028
臺南市,1960,3,120.50,23.15,22.319
臺南市,1960,3,120.50,23.20,22.2019
臺南市,1960,3,120.50,23.25,20.3448
臺南市,1960,3,120.50,23.30,20.2217
臺南市,1960,3,120.50,23.35,21.293
臺南市,1960,3,120.50,23.40,22.3649
臺南市,1960,3,120.55,23.05,21.7602
臺南市,1960,3,120.55,23.10,21.5148
臺南市,1960,3,120.55,23.15,20.2806
臺南市,1960,3,120.55,23.20,20.649
臺南市,1960,3,120.55,23.25,21.2806
臺南市,1960,3,120.55,23.30,19.5312
臺南市,1960,3,120.55,23.35,19.149
臺南市,1960,3,120.60,23.10,21.0134
臺南市,1960,3,120.60,23.15,20.6355
臺南市,1960,3,120.60,23.20,20.2935
臺南市,1960,3,120.60,23.25,19.3717
臺南市,1960,3,120.65,23.15,19.0396
臺南市,1960,3,120.65,23.20,19.1482
臺南市,1960,3,120.65,23.25,19.0847
臺南市,1960,4,120.05,23.05,23.7756
臺南市,1960,4,120.05,23.10,23.5707
臺南市,1960,4,120.05,23.15,23.2152
臺南市,1960,4,120.05,23.20,NAN
臺南市,1960,4,120.10,23.00,NAN
臺南市,1960,4,120.10,23.05,23.8351
臺南市,1960,4,120.10,23.10,23.3009
臺南市,1960,4,120.10,23.15,23.1793
臺南市,1960,4,120.10,23.20,23.167
臺南市,1960,4,120.10,23.25,23.1841
臺南市,1960,4,120.10,23.30,23.1943
臺南市,1960,4,120.10,23.35,23.1953
臺南市,1960,4,120.15,22.90,24.0606
臺南市,1960,4,120.15,22.95,23.9378
臺南市,1960,4,120.15,23.00,23.912
臺南市,1960,4,120.15,23.05,23.6354
臺南市,1960,4,120.15,23.10,23.1775
臺南市,1960,4,120.15,23.15,23.1705
臺南市,1960,4,120.15,23.20,23.1686
臺南市,1960,4,120.15,23.25,23.1593
臺南市,1960,4,120.15,23.30,23.1602
臺南市,1960,4,120.15,23.35,23.1628
臺南市,1960,4,120.20,22.90,24.0314
臺南市,1960,4,120.20,22.95,23.9707
臺南市,1960,4,120.20,23.00,23.7926
臺南市,1960,4,120.20,23.05,23.4104
臺南市,1960,4,120.20,23.10,23.1799
臺南市,1960,4,120.20,23.15,23.1685
臺南市,1960,4,120.20,23.20,23.1728
臺南市,1960,4,120.20,23.25,23.1691
臺南市,1960,4,120.20,23.30,23.169
臺南市,1960,4,120.25,22.90,23.9059
臺南市,1960,4,120.25,22.95,23.8238
臺南市,1960,4,120.25,23.00,23.6676
臺南市,1960,4,120.25,23.05,23.3691
臺南市,1960,4,120.25,23.10,23.1841
臺南市,1960,4,120.25,23.15,23.157
臺南市,1960,4,120.25,23.20,23.1459
臺南市,1960,4,120.25,23.25,23.1591
臺南市,1960,4,120.25,23.30,23.1553
臺南市,1960,4,120.25,23.35,23.148
臺南市,1960,4,120.30,22.90,23.7886
臺南市,1960,4,120.30,22.95,23.7233
臺南市,1960,4,120.30,23.00,23.5244
臺南市,1960,4,120.30,23.05,23.4726
臺南市,1960,4,120.30,23.10,23.2123
臺南市,1960,4,120.30,23.15,23.1319
臺南市,1960,4,120.30,23.20,23.1452
臺南市,1960,4,120.30,23.25,23.1401
臺南市,1960,4,120.30,23.30,23.1209
臺南市,1960,4,120.30,23.35,23.1332
臺南市,1960,4,120.30,23.40,23.1325
臺南市,1960,4,120.35,22.90,23.883
臺南市,1960,4,120.35,22.95,23.5635
臺南市,1960,4,120.35,23.00,23.287
臺南市,1960,4,120.35,23.05,23.3143
臺南市,1960,4,120.35,23.10,23.2196
臺南市,1960,4,120.35,23.15,23.0877
臺南市,1960,4,120.35,23.20,23.0437
臺南市,1960,4,120.35,23.25,23.1016
