﻿縣市別代碼,行政區域代碼,監測週期,陽性率,總卵粒數 
67000,67000370,112年第7週,10.42%,631
67000,67000270,112年第7週,8.33%,324
67000,67000340,112年第7週,9.60%,1284
67000,67000310,112年第7週,6.59%,728
67000,67000360,112年第7週,11.54%,384
67000,67000350,112年第7週,11.76%,1548
67000,67000320,112年第7週,9.44%,1113
67000,67000330,112年第7週,11.71%,1392
67000,67000010,112年第7週,13.89%,507
67000,67000280,112年第7週,13.10%,229
67000,67000370,112年第8週,7.50%,435
67000,67000270,112年第8週,5.73%,199
67000,67000340,112年第8週,7.07%,765
67000,67000310,112年第8週,5.04%,634
67000,67000360,112年第8週,5.13%,234
67000,67000350,112年第8週,6.05%,823
67000,67000320,112年第8週,8.15%,648
67000,67000330,112年第8週,7.66%,744
67000,67000010,112年第8週,5.56%,268
67000,67000280,112年第8週,5.95%,101
67000,67000370,112年第9週,5.42%,356
67000,67000270,112年第9週,6.25%,190
67000,67000340,112年第9週,5.81%,454
67000,67000310,112年第9週,2.91%,284
67000,67000360,112年第9週,5.13%,264
67000,67000350,112年第9週,4.90%,564
67000,67000320,112年第9週,6.11%,494
67000,67000330,112年第9週,7.66%,829
67000,67000010,112年第9週,6.94%,159
67000,67000280,112年第9週,4.76%,64
67000,67000370,112年第10週,5.42%,256
67000,67000270,112年第10週,4.17%,139
67000,67000340,112年第10週,6.31%,384
67000,67000310,112年第10週,4.26%,440
67000,67000360,112年第10週,4.49%,255
67000,67000350,112年第10週,7.03%,1205
67000,67000320,112年第10週,5.19%,484
67000,67000330,112年第10週,9.46%,706
67000,67000010,112年第10週,5.56%,140
67000,67000280,112年第10週,7.14%,134
67000,67000370,112年第11週,7.92%,400
67000,67000270,112年第11週,6.77%,281
67000,67000340,112年第11週,8.08%,564
67000,67000310,112年第11週,7.95%,1004
67000,67000360,112年第11週,7.05%,272
67000,67000350,112年第11週,10.78%,1430
67000,67000320,112年第11週,5.74%,601
67000,67000330,112年第11週,12.16%,954
67000,67000010,112年第11週,5.56%,113
67000,67000280,112年第11週,8.33%,104
67000,67000370,112年第31週,32.92%,2026
67000,67000270,112年第31週,34.38%,1309
67000,67000340,112年第31週,31.82%,3486
67000,67000310,112年第31週,30.43%,3191
67000,67000360,112年第31週,43.59%,2068
67000,67000350,112年第31週,43.30%,7299
67000,67000320,112年第31週,27.41%,3248
67000,67000330,112年第31週,35.81%,4373
67000,67000010,112年第31週,27.78%,920
67000,67000280,112年第31週,27.38%,762
67000,67000370,112年第32週,38.33%,2731
67000,67000270,112年第32週,40.10%,1902
67000,67000340,112年第32週,37.37%,4210
67000,67000310,112年第32週,37.79%,5793
67000,67000360,112年第32週,39.74%,2392
67000,67000350,112年第32週,49.35%,9288
67000,67000320,112年第32週,35.37%,5363
67000,67000330,112年第32週,40.77%,6506
67000,67000010,112年第32週,27.78%,1014
67000,67000280,112年第32週,29.76%,990
67000,67000370,112年第33週,28.75%,1609
67000,67000270,112年第33週,32.81%,1417
67000,67000340,112年第33週,29.55%,3025
67000,67000310,112年第33週,31.20%,3731
67000,67000360,112年第33週,39.74%,1827
67000,67000350,112年第33週,39.05%,6241
67000,67000320,112年第33週,22.96%,2474
67000,67000330,112年第33週,35.14%,3395
67000,67000010,112年第33週,25.00%,997
67000,67000280,112年第33週,28.57%,897
67000,67000370,112年第34週,56.25%,4085
67000,67000270,112年第34週,50.00%,2511
67000,67000340,112年第34週,42.42%,5408
67000,67000310,112年第34週,44.38%,6329
67000,67000360,112年第34週,50.64%,3239
67000,67000350,112年第34週,57.03%,11156
67000,67000320,112年第34週,40.93%,6559
67000,67000330,112年第34週,53.60%,9077
67000,67000010,112年第34週,31.94%,1459
67000,67000280,112年第34週,51.19%,2310
67000,67000370,112年第35週,57.08%,5600
67000,67000270,112年第35週,69.27%,5614
67000,67000340,112年第35週,53.79%,8040
67000,67000310,112年第35週,52.13%,10041
67000,67000360,112年第35週,71.79%,5949
67000,67000350,112年第35週,63.89%,17988
67000,67000320,112年第35週,45.37%,8036
67000,67000330,112年第35週,58.11%,11074
67000,67000010,112年第35週,31.94%,1343
67000,67000280,112年第35週,42.86%,1712
67000,67000370,112年第36週,35.83%,1903
67000,67000270,112年第36週,58.85%,3273
67000,67000340,112年第36週,31.31%,3193
67000,67000310,112年第36週,31.20%,3902
67000,67000360,112年第36週,39.10%,1990
67000,67000350,112年第36週,41.99%,7562
67000,67000320,112年第36週,18.70%,2235
67000,67000330,112年第36週,29.28%,4266
67000,67000010,112年第36週,27.78%,1028
67000,67000280,112年第36週,22.62%,519
67000,67000370,112年第37週,25.83%,1264
67000,67000270,112年第37週,44.79%,2178
67000,67000340,112年第37週,25.76%,2247
67000,67000310,112年第37週,26.94%,3069
67000,67000360,112年第37週,40.38%,1679
67000,67000350,112年第37週,31.21%,4532
67000,67000320,112年第37週,18.52%,2136
67000,67000330,112年第37週,27.70%,3087
67000,67000010,112年第37週,27.78%,984
67000,67000280,112年第37週,16.67%,599
67000,67000370,112年第38週,57.50%,4327
67000,67000270,112年第38週,63.54%,5361
67000,67000340,112年第38週,46.72%,6089
67000,67000310,112年第38週,48.26%,8399
67000,67000360,112年第38週,66.67%,4442
67000,67000350,112年第38週,53.43%,11990
67000,67000320,112年第38週,41.67%,7160
67000,67000330,112年第38週,49.10%,8958
67000,67000010,112年第38週,37.50%,1273
67000,67000280,112年第38週,38.10%,1677
67000,67000370,112年第39週,43.75%,3159
67000,67000270,112年第39週,50.00%,3684
67000,67000340,112年第39週,38.38%,4607
67000,67000310,112年第39週,41.09%,6598
67000,67000360,112年第39週,51.92%,3460
67000,67000350,112年第39週,49.67%,11698
67000,67000320,112年第39週,37.22%,6077
67000,67000330,112年第39週,39.64%,5998
67000,67000010,112年第39週,27.78%,947
67000,67000280,112年第39週,51.19%,1668
67000,67000370,112年第40週,24.58%,1194
67000,67000270,112年第40週,39.06%,2620
67000,67000340,112年第40週,23.99%,2081
67000,67000310,112年第40週,30.04%,3906
67000,67000360,112年第40週,36.54%,1590
67000,67000350,112年第40週,34.64%,6055
67000,67000320,112年第40週,18.15%,2483
67000,67000330,112年第40週,30.41%,3788
67000,67000010,112年第40週,25.00%,807
67000,67000280,112年第40週,69.05%,2015
67000,67000370,112年第41週,25.83%,1436
67000,67000270,112年第41週,38.02%,2417
67000,67000340,112年第41週,25.25%,2027
67000,67000310,112年第41週,28.49%,3561
67000,67000360,112年第41週,23.72%,965
67000,67000350,112年第41週,31.05%,5405
67000,67000320,112年第41週,15.93%,2170
67000,67000330,112年第41週,26.13%,3552
67000,67000010,112年第41週,25.00%,992
67000,67000280,112年第41週,42.86%,1221
67000,67000370,112年第42週,25.00%,1658
67000,67000270,112年第42週,41.67%,2048
67000,67000340,112年第42週,23.99%,1953
67000,67000310,112年第42週,29.65%,3925
67000,67000360,112年第42週,25.64%,912
67000,67000350,112年第42週,27.12%,4477
67000,67000320,112年第42週,19.26%,2493
67000,67000330,112年第42週,29.73%,3541
67000,67000010,112年第42週,27.78%,746
67000,67000280,112年第42週,35.71%,604
67000,67000370,112年第48週,14.17%,745
67000,67000270,112年第48週,18.23%,1070
67000,67000340,112年第48週,11.11%,863
67000,67000310,112年第48週,16.28%,2319
67000,67000360,112年第48週,14.10%,513
67000,67000350,112年第48週,15.85%,2319
67000,67000320,112年第48週,7.22%,1134
67000,67000330,112年第48週,15.77%,1153
67000,67000010,112年第48週,23.61%,649
67000,67000280,112年第48週,9.52%,169
67000,67000370,112年第49週,12.08%,716
67000,67000270,112年第49週,16.67%,779
67000,67000340,112年第49週,7.58%,607
67000,67000310,112年第49週,10.47%,1513
67000,67000360,112年第49週,18.59%,835
67000,67000350,112年第49週,14.71%,2314
67000,67000320,112年第49週,7.78%,1018
67000,67000330,112年第49週,15.77%,1219
67000,67000010,112年第49週,19.44%,749
67000,67000280,112年第49週,5.95%,50
67000,67000370,112年第50週,12.92%,934
67000,67000270,112年第50週,20.83%,1427
67000,67000340,112年第50週,8.84%,892
67000,67000310,112年第50週,11.43%,1715
67000,67000360,112年第50週,17.31%,999
