CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺南市,1960,2,120.55,23.35,0.00047441
臺南市,1960,2,120.60,23.10,0
臺南市,1960,2,120.60,23.15,0
臺南市,1960,2,120.60,23.20,0
臺南市,1960,2,120.60,23.25,0
臺南市,1960,2,120.65,23.15,0
臺南市,1960,2,120.65,23.20,0
臺南市,1960,2,120.65,23.25,0
臺南市,1960,3,120.05,23.05,2.05861
臺南市,1960,3,120.05,23.10,1.83665
臺南市,1960,3,120.05,23.15,1.53948
臺南市,1960,3,120.05,23.20,NAN
臺南市,1960,3,120.10,23.00,NAN
臺南市,1960,3,120.10,23.05,2.04937
臺南市,1960,3,120.10,23.10,1.88068
臺南市,1960,3,120.10,23.15,1.45459
臺南市,1960,3,120.10,23.20,1.28142
臺南市,1960,3,120.10,23.25,1.56715
臺南市,1960,3,120.10,23.30,1.71325
臺南市,1960,3,120.10,23.35,1.78155
臺南市,1960,3,120.15,22.90,3.42877
臺南市,1960,3,120.15,22.95,3.01646
臺南市,1960,3,120.15,23.00,2.52346
臺南市,1960,3,120.15,23.05,2.40225
臺南市,1960,3,120.15,23.10,1.81213
臺南市,1960,3,120.15,23.15,1.32662
臺南市,1960,3,120.15,23.20,1.4108
臺南市,1960,3,120.15,23.25,1.81213
臺南市,1960,3,120.15,23.30,1.86372
臺南市,1960,3,120.15,23.35,1.93918
臺南市,1960,3,120.20,22.90,3.88
臺南市,1960,3,120.20,22.95,3.4099
臺南市,1960,3,120.20,23.00,2.51209
臺南市,1960,3,120.20,23.05,2.15491
臺南市,1960,3,120.20,23.10,1.64947
臺南市,1960,3,120.20,23.15,1.4228
臺南市,1960,3,120.20,23.20,1.74638
臺南市,1960,3,120.20,23.25,2.38434
臺南市,1960,3,120.20,23.30,2.00397
臺南市,1960,3,120.25,22.90,3.94392
臺南市,1960,3,120.25,22.95,3.5268
臺南市,1960,3,120.25,23.00,2.66563
臺南市,1960,3,120.25,23.05,2.01568
臺南市,1960,3,120.25,23.10,1.57999
臺南市,1960,3,120.25,23.15,1.32795
臺南市,1960,3,120.25,23.20,1.86588
臺南市,1960,3,120.25,23.25,2.79384
臺南市,1960,3,120.25,23.30,1.8495
臺南市,1960,3,120.25,23.35,1.55403
臺南市,1960,3,120.30,22.90,3.24056
臺南市,1960,3,120.30,22.95,3.23263
臺南市,1960,3,120.30,23.00,2.91266
臺南市,1960,3,120.30,23.05,2.21488
臺南市,1960,3,120.30,23.10,1.53849
臺南市,1960,3,120.30,23.15,1.52553
臺南市,1960,3,120.30,23.20,1.95627
臺南市,1960,3,120.30,23.25,2.60696
臺南市,1960,3,120.30,23.30,2.24154
臺南市,1960,3,120.30,23.35,1.60412
臺南市,1960,3,120.30,23.40,1.50449
臺南市,1960,3,120.35,22.90,2.44178
臺南市,1960,3,120.35,22.95,2.3446
臺南市,1960,3,120.35,23.00,1.82707
臺南市,1960,3,120.35,23.05,1.34148
臺南市,1960,3,120.35,23.10,0.864687
臺南市,1960,3,120.35,23.15,1.24939
臺南市,1960,3,120.35,23.20,1.89897
臺南市,1960,3,120.35,23.25,2.55898
臺南市,1960,3,120.35,23.30,2.67415
臺南市,1960,3,120.35,23.35,1.86208
臺南市,1960,3,120.35,23.40,1.33946
臺南市,1960,3,120.40,22.90,2.25938
臺南市,1960,3,120.40,22.95,1.97245
臺南市,1960,3,120.40,23.00,1.57427
臺南市,1960,3,120.40,23.05,1.5213
臺南市,1960,3,120.40,23.10,1.29082
臺南市,1960,3,120.40,23.15,1.29373
臺南市,1960,3,120.40,23.20,2.04596
臺南市,1960,3,120.40,23.25,2.52856
臺南市,1960,3,120.40,23.30,2.74105
臺南市,1960,3,120.40,23.35,1.91178
臺南市,1960,3,120.40,23.40,1.3898
臺南市,1960,3,120.45,22.95,2.02618
臺南市,1960,3,120.45,23.00,1.64504
臺南市,1960,3,120.45,23.05,1.52263
臺南市,1960,3,120.45,23.10,1.45402
臺南市,1960,3,120.45,23.15,1.61816
臺南市,1960,3,120.45,23.20,2.1267
臺南市,1960,3,120.45,23.25,2.61464
臺南市,1960,3,120.45,23.30,2.39048
臺南市,1960,3,120.45,23.35,2.00473
臺南市,1960,3,120.45,23.40,1.73271
臺南市,1960,3,120.50,23.00,2.00099
臺南市,1960,3,120.50,23.05,1.86638
臺南市,1960,3,120.50,23.10,1.84546
臺南市,1960,3,120.50,23.15,1.94741
臺南市,1960,3,120.50,23.20,2.15263
