DistrictCode,DistrictName,VillageID,VillageName
6702900,關廟區,6702900-002,山西里
6702900,關廟區,6702900-003,香洋里
6702900,關廟區,6702900-004,北勢里
6702900,關廟區,6702900-005,新埔里
6702900,關廟區,6702900-006,新光里
6702900,關廟區,6702900-007,五甲里
6702900,關廟區,6702900-008,東勢里
6702900,關廟區,6702900-009,松腳里
6702900,關廟區,6702900-010,南花里
6702900,關廟區,6702900-011,北花里
6702900,關廟區,6702900-012,深坑里
6702900,關廟區,6702900-013,布袋里
6702900,關廟區,6702900-014,田中里
6702900,關廟區,6702900-015,龜洞里
6702900,關廟區,6702900-016,埤頭里
6702900,關廟區,6702900-017,下湖里
6703000,龍崎區,6703000-001,崎頂里
6703000,龍崎區,6703000-002,土崎里
6703000,龍崎區,6703000-003,中坑里
6703000,龍崎區,6703000-004,楠坑里
6703000,龍崎區,6703000-005,牛埔里
6703000,龍崎區,6703000-006,大坪里
6703000,龍崎區,6703000-007,龍船里
6703000,龍崎區,6703000-008,石𥕢𥕢里
6703100,永康區,6703100-001,五王里
6703100,永康區,6703100-002,網寮里
6703100,永康區,6703100-003,永康里
6703100,永康區,6703100-004,埔園里
6703100,永康區,6703100-005,大橋里
6703100,永康區,6703100-006,王行里
6703100,永康區,6703100-007,烏竹里
6703100,永康區,6703100-008,蔦松里
6703100,永康區,6703100-009,三民里
6703100,永康區,6703100-010,塩行里
6703100,永康區,6703100-011,甲頂里
6703100,永康區,6703100-012,大灣里
6703100,永康區,6703100-013,東灣里
6703100,永康區,6703100-014,西灣里
6703100,永康區,6703100-015,南灣里
6703100,永康區,6703100-016,崑山里
6703100,永康區,6703100-017,北灣里
6703100,永康區,6703100-018,新樹里
6703100,永康區,6703100-019,復興里
6703100,永康區,6703100-020,復國里
6703100,永康區,6703100-021,建國里
6703100,永康區,6703100-022,神洲里
6703100,永康區,6703100-023,西勢里
6703100,永康區,6703100-024,成功里
6703100,永康區,6703100-025,中興里
6703100,永康區,6703100-026,勝利里
6703100,永康區,6703100-027,龍潭里
6703100,永康區,6703100-028,光復里
6703100,永康區,6703100-029,塩洲里
6703100,永康區,6703100-030,二王里
6703100,永康區,6703100-031,六合里
6703100,永康區,6703100-032,三合里
6703100,永康區,6703100-033,東橋里
6703100,永康區,6703100-034,安康里
6703100,永康區,6703100-035,西橋里
6703100,永康區,6703100-036,尚頂里
6703100,永康區,6703100-037,復華里
6703100,永康區,6703100-038,正強里
6703100,永康區,6703100-039,中華里
6703200,東區,6703200-001,富裕里
6703200,東區,6703200-002,裕農里
6703200,東區,6703200-003,大智里
6703200,東區,6703200-004,崇學里
6703200,東區,6703200-005,泉南里
6703200,東區,6703200-006,仁和里
6703200,東區,6703200-007,後甲里
6703200,東區,6703200-008,東光里
6703200,東區,6703200-009,新東里
6703200,東區,6703200-010,中西里
6703200,東區,6703200-011,東安里
6703200,東區,6703200-012,崇明里
6703200,東區,6703200-013,自強里
6703200,東區,6703200-014,和平里
6703200,東區,6703200-015,路東里
6703200,東區,6703200-016,大德里
6703200,東區,6703200-017,關聖里
6703200,東區,6703200-018,衛國里
6703200,東區,6703200-019,崇善里
6703200,東區,6703200-020,富強里
6703200,東區,6703200-021,圍下里
6703200,東區,6703200-022,小東里
6703200,東區,6703200-023,大學里
6703200,東區,6703200-024,龍山里
6703200,東區,6703200-025,虎尾里
6703200,東區,6703200-026,德高里
6703200,東區,6703200-027,莊敬里
6703200,東區,6703200-028,大福里
6703200,東區,6703200-029,忠孝里
6703200,東區,6703200-030,崇誨里
6703200,東區,6703200-031,東明里
6703200,東區,6703200-032,崇德里
6703200,東區,6703200-033,東智里
6703200,東區,6703200-034,東聖里
6703200,東區,6703200-035,崇成里
6703200,東區,6703200-036,東門里
6703200,東區,6703200-037,成大里
6703200,東區,6703200-038,大同里
6703200,東區,6703200-039,德光里
6703200,東區,6703200-040,崇信里
6703200,東區,6703200-041,崇文里
6703200,東區,6703200-042,復興里
6703200,東區,6703200-043,裕聖里
6703200,東區,6703200-044,南聖里
6703200,東區,6703200-045,文聖里
6703300,南區,6703300-001,竹溪里
6703300,南區,6703300-002,荔宅里
6703300,南區,6703300-003,明德里
6703300,南區,6703300-004,大成里
6703300,南區,6703300-005,廣州里
6703300,南區,6703300-006,新昌里
6703300,南區,6703300-007,新興里
6703300,南區,6703300-008,田寮里
6703300,南區,6703300-009,國宅里
6703300,南區,6703300-010,日新里
6703300,南區,6703300-011,光明里
6703300,南區,6703300-012,白雪里
6703300,南區,6703300-013,明亮里
6703300,南區,6703300-014,喜東里
6703300,南區,6703300-015,喜北里
6703300,南區,6703300-016,喜南里
6703300,南區,6703300-017,省躬里
6703300,南區,6703300-018,興農里
6703300,南區,6703300-019,同安里
6703300,南區,6703300-020,佛壇里
6703300,南區,6703300-021,大林里
6703300,南區,6703300-022,大忠里
6703300,南區,6703300-023,大恩里
6703300,南區,6703300-024,新生里
6703300,南區,6703300-025,再興里
6703300,南區,6703300-026,明興里
6703300,南區,6703300-027,文華里
6703300,南區,6703300-028,金華里
6703300,南區,6703300-029,南都里
6703300,南區,6703300-030,開南里
6703300,南區,6703300-031,彰南里
6703300,南區,6703300-032,建南里
6703300,南區,6703300-033,郡南里
6703300,南區,6703300-034,府南里
6703300,南區,6703300-035,文南里
6703300,南區,6703300-036,鯤鯓里
6703300,南區,6703300-037,松安里
6703300,南區,6703300-038,永寧里
6703300,南區,6703300-039,南華里
6703400,北區,6703400-001,開元里
6703400,北區,6703400-002,新勝里
6703400,北區,6703400-003,勝安里
6703400,北區,6703400-004,東興里
6703400,北區,6703400-005,力行里
6703400,北區,6703400-006,華興里
6703400,北區,6703400-007,振興里
6703400,北區,6703400-008,仁愛里
6703400,北區,6703400-009,大仁里
6703400,北區,6703400-010,大山里
6703400,北區,6703400-011,大道里
6703400,北區,6703400-012,光武里
6703400,北區,6703400-013,實踐里
6703400,北區,6703400-014,小康里
6703400,北區,6703400-015,正風里
6703400,北區,6703400-016,延平里
6703400,北區,6703400-017,興北里
6703400,北區,6703400-018,大豐里
6703400,北區,6703400-019,重興里
6703400,北區,6703400-020,和順里
6703400,北區,6703400-021,國姓里
6703400,北區,6703400-022,六甲里
6703400,北區,6703400-023,正覺里
6703400,北區,6703400-024,成功里
6703400,北區,6703400-025,文元里
6703400,北區,6703400-026,大港里
6703400,北區,6703400-027,國興里
6703400,北區,6703400-028,裕民里
6703400,北區,6703400-029,安民里
6703400,北區,6703400-030,興南里
6703400,北區,6703400-031,長榮里
6703400,北區,6703400-032,中樓里
6703400,北區,6703400-033,公園里
6703400,北區,6703400-034,玉皇里
6703400,北區,6703400-035,長德里
6703400,北區,6703400-036,三德里
6703400,北區,6703400-037,五福里
6703400,北區,6703400-038,元寶里
6703400,北區,6703400-039,永祥里
6703400,北區,6703400-040,成德里
6703400,北區,6703400-041,文成里
6703400,北區,6703400-042,大和里
6703400,北區,6703400-043,賢北里
6703500,安南區,6703500-001,東和里
6703500,安南區,6703500-002,安順里
6703500,安南區,6703500-003,南里
6703500,安南區,6703500-004,州南里
6703500,安南區,6703500-005,州北里
6703500,安南區,6703500-006,安東里
6703500,安南區,6703500-007,安西里
6703500,安南區,6703500-008,頂安里
6703500,安南區,6703500-009,安慶里
6703500,安南區,6703500-010,新順里
6703500,安南區,6703500-011,原佃里
6703500,安南區,6703500-012,總頭里
6703500,安南區,6703500-013,長安里
6703500,安南區,6703500-014,公親里
6703500,安南區,6703500-015,海東里
6703500,安南區,6703500-016,海西里
6703500,安南區,6703500-017,海南里
6703500,安南區,6703500-018,溪心里
6703500,安南區,6703500-019,塩田里
6703500,安南區,6703500-020,淵東里
6703500,安南區,6703500-021,淵西里
6703500,安南區,6703500-022,佃東里
6703500,安南區,6703500-023,佃西里
6703500,安南區,6703500-024,公里
6703500,安南區,6703500-025,南興里
6703500,安南區,6703500-026,學東里
6703500,安南區,6703500-027,城東里
6703500,安南區,6703500-028,城北里
6703500,安南區,6703500-029,城中里
6703500,安南區,6703500-030,城南里
6703500,安南區,6703500-031,城西里
6703500,安南區,6703500-032,青草里
6703500,安南區,6703500-033,砂崙里
6703500,安南區,6703500-034,顯宮里
6703500,安南區,6703500-035,鹿耳里
6703500,安南區,6703500-036,四草里
6703500,安南區,6703500-037,安和里
6703500,安南區,6703500-038,溪北里
6703500,安南區,6703500-039,溪頂里
6703500,安南區,6703500-040,溪墘里
6703500,安南區,6703500-041,海佃里
6703500,安南區,6703500-042,幸福里
6703500,安南區,6703500-043,鳳凰里
6703500,安南區,6703500-044,梅花里
6703500,安南區,6703500-045,理想里
6703500,安南區,6703500-046,溪東里
6703500,安南區,6703500-047,淵中里
6703500,安南區,6703500-048,布袋里
6703500,安南區,6703500-049,國安里
6703500,安南區,6703500-050,安富里
6703500,安南區,6703500-051,大安里
6703600,安平區,6703600-001,西門里
6703600,安平區,6703600-002,金城里
6703600,安平區,6703600-003,石門里
6703600,安平區,6703600-004,漁光里
6703600,安平區,6703600-005,建平里
6703600,安平區,6703600-006,怡平里
6703600,安平區,6703600-007,華平里
6703600,安平區,6703600-008,平通里
6703600,安平區,6703600-009,文平里
6703600,安平區,6703600-010,國平里
6703600,安平區,6703600-011,育平里
6703600,安平區,6703600-012,億載里
6703600,安平區,6703600-013,海頭里
6703600,安平區,6703600-014,港仔里
6703600,安平區,6703600-015,平安里
6703700,中西區,6703700-001,公正里
6703700,中西區,6703700-002,銀同里
6703700,中西區,6703700-003,小西里
6703700,中西區,6703700-004,仙草里
6703700,中西區,6703700-005,赤嵌里
6703700,中西區,6703700-006,五妃里
6703700,中西區,6703700-007,郡王里
6703700,中西區,6703700-008,福安里
6703700,中西區,6703700-009,法華里
6703700,中西區,6703700-010,大南里
6703700,中西區,6703700-011,開山里
6703700,中西區,6703700-012,進學里
6703700,中西區,6703700-013,建國里
6703700,中西區,6703700-014,青年里
6703700,中西區,6703700-015,永福里
6703700,中西區,6703700-016,永華里
6703700,中西區,6703700-017,天后里
