LON,LAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
120.1,23.3,0.014,0.0056,6.7587,0.002,0.0213,0.0243,0.1251,0.0213,0.0225,0.0115,0.009,0.0137,0.0109,11.9764,0.0224,19.1408,24.1497,0.0156,0.1198,0.0339,29.017,97.7834,4.7556,74.3666,25.8059,41.5843,2.6737,0.0167,3.575,3.2438,2.8889,58.0581,11.8085,0.0665,1.0856,18.9238,0.0353,0.0378,0.0187,1.3691,0.0092,0.0078,32.3605,0.006,0.0032,0.021,0.0012,2.0536,0.0002,10.8094,0.0102,0.0028
120.1,23.35,0.0207,0.0083,6.8711,0.0024,0.0209,0.0214,0.1088,0.0189,0.0174,0.0092,0.006,0.0107,0.0087,12.4327,0.0201,18.7105,25.6269,0.0103,0.0807,0.0212,31.523,74.2573,4.0548,72.4539,26.919,39.3836,1.7851,0.0105,0.0365,1.9902,1.8158,58.2101,9.8575,0.045,0.0597,15.3211,0.03,0.0288,0.0139,0.023,0.0069,0.0074,27.6938,0.0077,0.0035,0.029,0.0016,2.1718,0.0002,10.773,0.0062,0.0017
120.15,22.9,0.0044,0.0015,6.265,0.0026,0.0017,0.0096,0.0554,0.0078,0.0083,0.0023,0.0078,0.0043,0.007,17.3304,0.0053,16.1683,4.0097,0.0058,0.0269,0.0211,13.7771,135.778,6.0512,91.3447,40.8689,37.2737,0.0434,0.0328,44.5006,6.5842,0.0524,41.3656,29.6372,1.0145,6.5062,37.3678,0.0238,0.0311,0.0226,13.7538,0.0244,0.0055,9.2467,0.0043,0.0057,0.0064,0.0003,0.0402,0,6.6099,0.0033,0.0007
120.15,22.95,0.0094,0.0032,5.4808,0.0046,0.0037,0.0145,1.038,0.0119,0.012,0.0037,0.0102,0.0063,0.0077,15.5586,0.007,13.2971,6.4968,0.009,0.045,0.0298,11.8221,126.5031,5.8515,97.9671,37.7386,39.4015,1.0679,0.0293,40.8111,6.9155,2.6083,44.8668,26.2075,1.4707,6.3975,36.4068,0.0331,0.0447,0.0313,16.4816,0.0354,0.009,11.566,0.0043,0.0055,0.0063,0.0004,0.0604,0,6.9562,0.0046,0.001
120.15,23,0.0142,0.005,4.9052,0.006,0.0052,0.0154,1.3171,0.0126,0.0162,0.0054,0.0126,0.0087,0.0131,11.975,0.0141,14.9753,8.2921,0.0093,0.0494,0.0282,13.6279,135.1738,6.2592,89.2424,38.223,38.5334,1.6979,0.025,43.5336,5.7179,2.5785,45.8602,22.2408,1.2159,6.133,36.4989,0.0308,0.0432,0.0291,15.796,0.0238,0.0068,14.1063,0.0041,0.0051,0.0074,0.0005,0.0681,0,8.6212,0.0045,0.0011
120.15,23.05,0.0198,0.0071,5.7221,0.0071,0.0094,0.0225,1.7716,0.0185,0.0253,0.0091,0.0179,0.0137,0.016,13.7988,0.0201,19.2445,12.6961,0.0128,0.0725,0.0359,15.3124,131.2079,6.6146,78.4254,34.1509,38.3913,1.9721,0.0486,35.8087,5.3098,2.9247,44.6443,22.6752,1.109,5.3988,35.8321,0.0426,0.0623,0.0401,14.7952,0.0349,0.0113,12.9543,0.0055,0.0065,0.0127,0.0007,1.1882,0.0001,10.5157,0.0064,0.0018
120.15,23.1,0.02,0.0073,5.9531,0.0061,0.0145,0.0289,1.1268,0.0237,0.0245,0.0094,0.0156,0.0134,0.017,11.5408,0.0246,18.508,17.1447,0.015,0.0904,0.0389,18.1658,122.4096,5.6329,73.7105,32.0847,37.9849,2.2593,0.0466,27.3006,3.9686,2.5805,50.8711,17.7731,0.0991,3.8266,31.7798,0.0319,0.0489,0.0299,13.1365,0.0213,0.0079,9.6084,0.0064,0.0067,0.017,0.001,2.305,0.0001,12.9623,0.0055,0.0015
120.15,23.15,0.02,0.0074,5.8236,0.0052,0.014,0.0237,1.6562,0.0195,0.0298,0.0122,0.017,0.0165,0.0161,9.7374,0.0266,17.2129,21.2187,0.018,0.1142,0.0433,17.4248,105.3499,5.6214,82.1036,27.6144,42.1566,2.4299,0.0581,20.7882,2.9723,3.3938,52.9422,17.7206,0.1064,3.6412,28.9643,0.0428,0.0626,0.0359,7.5802,0.0175,0.0075,8.5621,0.0079,0.0073,0.0237,0.0013,3.999,0.0001,11.1135,0.0076,0.0019
120.15,23.2,0.0178,0.0066,5.7442,0.0039,0.0143,0.021,1.7152,0.0173,0.0242,0.0104,0.0123,0.0136,0.0095,10.5458,0.0176,18.9509,20.9771,0.0137,0.0906,0.0305,20.307,94.981,5.5725,77.7426,27.3181,41.7774,3.2496,0.0329,15.6406,3.6813,4.0541,69.1042,17.8322,0.0769,2.9742,32.0049,0.0302,0.0399,0.0212,7.3459,0.0161,0.0081,16.5374,0.0073,0.0059,0.0242,0.0013,4.4337,0.0001,12.4782,0.0085,0.0021
120.15,23.25,0.0153,0.0058,5.4585,0.0028,0.0156,0.0201,1.0773,0.0166,0.0253,0.0115,0.0113,0.0144,0.0089,13.3465,0.0186,17.5849,24.4901,0.0116,0.08,0.0242,24.3781,102.6539,4.8166,77.0376,27.247,43.7198,3.9501,0.0229,10.201,4.2117,4.4445,63.038,14.7768,0.0846,2.046,23.167,0.0326,0.0389,0.0198,2.9731,0.0178,0.0107,26.258,0.0076,0.0054,0.0278,0.0014,3.5,0.0001,11.2237,0.0086,0.002
