OBJECTID,Id,Shape,date,type,WeekName
2199,9879.0,"POLYGON ((13386824.8959 2632354.8905999996, 13386780.108600002 2632199.0306999981, 13386864.905900002 2632158.4235000014, 13386944.925999999 2632133.3425999992, 13387002.850900002 2632241.429299999, 13387022.557300001 2632347.1273999996, 13386860.128600001 2632402.0665000007, 13386826.090300001 2632357.2791999988, 13386824.8959 2632354.8905999996))",2016/08/24,孳清,35.0
2200,9856.0,"POLYGON ((13380529.607700001 2629772.9866999984, 13380576.7837 2629787.318599999, 13380588.1298 2629826.7314999998, 13380567.826299999 2629870.3244999982, 13380531.996399999 2629878.684799999, 13380490.792100001 2629850.0209, 13380490.194899999 2629802.8449000008, 13380528.413400002 2629771.1952, 13380529.607700001 2629772.9866999984))",2016/08/24,孳清,35.0
2207,9806.0,"POLYGON ((13385156.762899999 2631627.0231, 13385101.823800001 2631648.5210000016, 13385101.823800001 2631641.3550000004, 13385156.762899999 2631627.0231))",2016/08/19,孳清,34.0
2210,,POINT EMPTY,,,
2211,,POINT EMPTY,,,
2212,,POINT EMPTY,,,
2213,,POINT EMPTY,,,
2220,,POINT EMPTY,,,
2222,,POINT EMPTY,,,
2225,,POINT EMPTY,,,
2233,,POINT EMPTY,,,
2234,,POINT EMPTY,,,
2235,,POINT EMPTY,,,
2236,,POINT EMPTY,,,
2243,,POINT EMPTY,,,
2245,,POINT EMPTY,,,
2248,,POINT EMPTY,,,
2253,,POINT EMPTY,,,
2254,,POINT EMPTY,,,
2259,,POINT EMPTY,,,
2265,,POINT EMPTY,,,
2266,,POINT EMPTY,,,
2269,,POINT EMPTY,,,
2272,,POINT EMPTY,,,
2273,,POINT EMPTY,,,
2281,,POINT EMPTY,,,
2282,,POINT EMPTY,,,
2286,,POINT EMPTY,,,
2292,,POINT EMPTY,,,
2293,,POINT EMPTY,,,
2295,,POINT EMPTY,,,
2296,,POINT EMPTY,,,
2297,,POINT EMPTY,,,
2298,,POINT EMPTY,,,
2300,,POINT EMPTY,,,
2301,,POINT EMPTY,,,
2302,,POINT EMPTY,,,
2305,9953.0,"POLYGON ((13381823.247200001 2629895.3753000014, 13381805.0337 2629897.1668, 13381782.9386 2629897.7639999986, 13381779.057100002 2629892.688099999, 13381781.147100002 2629883.432, 13381811.0053 2629884.6264000013, 13381821.754299998 2629886.4179, 13381825.0387 2629885.5221000016, 13381825.635899998 2629895.6739000008, 13381823.247200001 2629895.3753000014))",2016/08/31,噴藥,36.0
2307,,POINT EMPTY,,,
2309,9954.0,"POLYGON ((13386504.8017 2635836.5901000015, 13386504.2045 2635836.8887000009, 13386526.5982 2635766.1246999986, 13386559.7408 2635776.8737000003, 13386540.332899999 2635844.0546999983, 13386504.8017 2635836.5901000015))",2016/08/30,噴藥,36.0
2310,,POINT EMPTY,,,
2315,,POINT EMPTY,,,
