里編號,區里,經度,緯度
484,麻豆區中興里,120.245936,23.179203
485,麻豆區井東里,120.2522223,23.171853
486,麻豆區北勢里,120.23758,23.210957
487,麻豆區安正里,120.22786,23.161444
488,麻豆區安業里,120.252815,23.150502
489,麻豆區東角里,120.25582,23.184424
490,麻豆區油車里,120.241235,23.190089
491,麻豆區南勢里,120.264295,23.19232
492,麻豆區巷口里,120.250965,23.179335
493,麻豆區晋江里,120.2488219,23.181275
494,麻豆區海埔里,120.216954,23.203036
495,麻豆區埤頭里,120.226899,23.19969
496,麻豆區清水里,120.2044745,23.108320
497,麻豆區麻口里,120.223426,23.178462
498,麻豆區港尾里,120.208285,23.212041
499,麻豆區新興里,120.2387537,23.184074
500,麻豆區寮廍里,120.281227,23.188001
501,麻豆區興農里,120.2395,23.178973
502,麻豆區謝厝寮里,120.2352327,23.148837
503,善化區小新里,120.313617,23.120898
504,善化區什乃里,120.281906,23.144885
505,善化區六分里,120.282859,23.158372
506,善化區六德里,120.302859,23.164187
507,善化區文正里,120.281401,23.135122
508,善化區文昌里,120.295811,23.118716
509,善化區牛庄里,120.318195,23.14055
510,善化區田寮里,120.304444,23.150396
511,善化區光文里,120.304117,23.14001
512,善化區坐駕里,120.300062,23.125453
513,善化區昌隆里,120.3113382,23.157643
514,善化區東關里,120.292233,23.136453
515,善化區南關里,120.272577,23.11843
516,善化區胡厝里,120.265089,23.136338
517,善化區胡家里,120.269496,23.148323
518,善化區頂街里,120.2828995,23.133565
519,善化區溪美里,120.279548,23.153119
520,善化區嘉北里,120.334357,23.146082
521,善化區嘉南里,120.328745,23.121893
522,善化區蓮潭里,120.3011558,23.115330
523,新化區大坑里,120.374474,23.01268
524,新化區山脚里,120.326225,23.006621
525,新化區太平里,120.310995,23.049296
526,新化區北勢里,120.290336,23.049484
527,新化區全興里,120.296531,23.027153
528,新化區羊林里,120.360422,23.056899
529,新化區協興里,120.292816,23.038036
530,新化區東榮里,120.322987,23.031874
531,新化區武安里,120.306716,23.031162
532,新化區知義里,120.332784,23.01967
533,新化區唪口里,120.296917,23.045025
534,新化區崙頂里,120.29023,23.021336
535,新化區𦰡拔里,120.3477371,23.068084
536,新化區礁坑里,120.354169,23.033891
537,新化區豐榮里,120.299455,23.031645
538,新化區護國里,120.320772,23.045563
539,新市區三舍里,120.29411,23.096801
540,新市區大社里,120.323627,23.093083
541,新市區大洲里,120.25668,23.070948
542,新市區大營里,120.310929,23.098636
543,新市區永就里,120.301141,23.064098
544,新市區社內里,120.280054,23.074749
545,新市區港墘里,120.306969,23.079032
546,新市區新市里,120.294713,23.082148
547,新市區新和里,120.290554,23.074932
548,新市區潭頂里,120.328311,23.075756
549,新市區豐華里,120.265966,23.095228
550,新營區三仙里,120.31109,23.31115
551,新營區土庫里,120.339327,23.318848
552,新營區大宏里,120.321848,23.308542
553,新營區中營里,120.32907,23.309223
554,新營區五興里,120.273211,23.273902
555,新營區太北里,120.274806,23.295283
556,新營區太南里,120.275623,23.286971
557,新營區王公里,120.31886,23.315464
558,新營區民生里,120.306617,23.306525
559,新營區民榮里,120.302191,23.30218
560,新營區民權里,120.314261,23.30664
561,新營區永平里,120.3141239,23.302506
562,新營區姑爺里,120.257515,23.27186
563,新營區忠政里,120.314442,23.315219
564,新營區南紙里,120.289694,23.299072
565,新營區南興里,120.305645,23.297816
566,新營區埤寮里,120.320011,23.327651
567,新營區新北里,120.305312,23.314818
568,新營區新東里,120.327043,23.315644
569,新營區新南里,120.297937,23.309909
570,新營區嘉芳里,120.284246,23.306813
571,新營區興業里,120.318763,23.303851
572,新營區護鎮里,120.293104,23.327116
573,楠西區東勢里,120.491879,23.176812
574,楠西區密枝里,120.534272,23.207176
575,楠西區鹿田里,120.487192,23.153552
576,楠西區楠西里,120.48227,23.173755
577,楠西區照興里,120.478484,23.192968
578,楠西區龜丹里,120.517613,23.136843
579,楠西區灣丘里,120.531279,23.171696
580,學甲區三慶里,120.189691,23.281963
581,學甲區大灣里,120.18372,23.214254
582,學甲區中洲里,120.150138,23.244181
583,學甲區仁得里,120.175697,23.230538
584,學甲區平和里,120.217213,23.254183
585,學甲區光華里,120.155795,23.267671
586,學甲區宅港里,120.192417,23.261046
587,學甲區秀昌里,120.179173,23.251749
588,學甲區明宜里,120.176139,23.235019
589,學甲區慈福里,120.184748,23.231596
590,學甲區新達里,120.205022,23.23673
591,學甲區新榮里,120.182187,23.225425
592,學甲區豐和里,120.203035,23.220918
593,龍崎區土崎里,120.380489,22.992276
594,龍崎區大坪里,120.385834,22.931784
595,龍崎區中坑里,120.36728,22.948562
596,龍崎區牛埔里,120.414435,22.928316
597,龍崎區石𥕢里,120.2386713,22.959971
598,龍崎區崎頂里,120.378614,22.967092
599,龍崎區楠坑里,120.368368,22.926433
600,龍崎區龍船里,120.41638,22.947559
601,歸仁區七甲里,120.285021,22.982239
602,歸仁區八甲里,120.298592,22.973938
603,歸仁區大廟里,120.279413,23.000672
