CODE1,TOWN,VILLAGE,COUNT,lat,lon,type,coordinates
A6731-48-002,永康區,五王里,2,23.013380777,120.231643987,Polygon,"[[[120.232210393, 23.013912877], [120.232403284, 23.013422099], [120.232300045, 23.013250425], [120.231228694, 23.012816818], [120.230806207, 23.013487791], [120.231361145, 23.013655788], [120.232210393, 23.013912877]]]"
A6731-48-006,永康區,六合里,2,23.011818229,120.230897889,Polygon,"[[[120.231417568, 23.012519736], [120.231643523, 23.012160834], [120.231878509, 23.011795937], [120.231555687, 23.011589348], [120.231398721, 23.011399581], [120.231092821, 23.011255083], [120.230828084, 23.011723871], [120.230424482, 23.011478311], [120.229724408, 23.011329915], [120.22965115, 23.01167957], [120.230039667, 23.011791442], [120.230615186, 23.01206683], [120.231417568, 23.012519736]]]"
A6731-51-001,永康區,五王里,3,23.012619648,120.233270545,Polygon,"[[[120.232509049, 23.011891962], [120.232157847, 23.012435308], [120.233009522, 23.012897453], [120.233921296, 23.01329843], [120.234284935, 23.012724448], [120.234199741, 23.012503804], [120.233839244, 23.012311413], [120.233567098, 23.012589753], [120.232509049, 23.011891962]]]"
A6731-51-002,永康區,五王里,2,23.012320208,120.234997957,Polygon,"[[[120.23576449, 23.012513925], [120.235884105, 23.012084869], [120.236055024, 23.011573792], [120.234834484, 23.011279895], [120.234676641, 23.01182013], [120.234733492, 23.012016421], [120.234284935, 23.012724448], [120.233921296, 23.01329843], [120.234604324, 23.013598733], [120.234798798, 23.013203666], [120.235244339, 23.012325183], [120.23576449, 23.012513925]]]"
A6731-51-004,永康區,五王里,3,23.011838944,120.233607879,Polygon,"[[[120.234284935, 23.012724448], [120.234733492, 23.012016421], [120.234676641, 23.01182013], [120.234072191, 23.011503192], [120.233145805, 23.010876061], [120.232509049, 23.011891962], [120.233567098, 23.012589753], [120.233839244, 23.012311413], [120.234199741, 23.012503804], [120.234284935, 23.012724448]]]"
A6731-51-006,永康區,五王里,2,23.010995356,120.234071341,Polygon,"[[[120.233591883, 23.010168854], [120.233145805, 23.010876061], [120.234072191, 23.011503192], [120.234676641, 23.01182013], [120.234834484, 23.011279895], [120.234920657, 23.010933267], [120.234517421, 23.010811349], [120.233591883, 23.010168854]]]"
A6731-52-001,永康區,三合里,2,23.012872693,120.2386907,Polygon,"[[[120.239354158, 23.012259004], [120.238744734, 23.012313387], [120.238779482, 23.01253658], [120.237875474, 23.0126037], [120.237918244, 23.012941398], [120.237968575, 23.013402627], [120.238898374, 23.013289839], [120.239412474, 23.013221293], [120.239354158, 23.012259004]]]"
A6731-52-003,永康區,三合里,2,23.012092854,120.238732253,Polygon,"[[[120.239354158, 23.012259004], [120.240008356, 23.012179164], [120.239845093, 23.012084329], [120.239607307, 23.011667207], [120.239378472, 23.011646126], [120.238653131, 23.011759269], [120.237780364, 23.011852719], [120.237825676, 23.012210504], [120.237875474, 23.0126037], [120.238779482, 23.01253658], [120.238744734, 23.012313387], [120.239354158, 23.012259004]]]"
A6731-52-006,永康區,三合里,2,23.010989188,120.239061544,Polygon,"[[[120.239378472, 23.011646126], [120.239492086, 23.010263722], [120.238790532, 23.010273228], [120.23867514, 23.010999041], [120.238653131, 23.011759269], [120.239378472, 23.011646126]]]"
A6731-54-007,永康區,六合里,2,23.008914767,120.231597362,Polygon,"[[[120.231103636, 23.009327132], [120.231463226, 23.009400876], [120.232062094, 23.009286983], [120.232, 23.009065932], [120.232035847, 23.00846153], [120.231250909, 23.00843287], [120.231200079, 23.008919823], [120.231103636, 23.009327132]]]"
A6731-55-005,永康區,復國里,3,23.008192619,120.245412405,Polygon,"[[[120.246112884, 23.008491613], [120.246343535, 23.008484943], [120.246281539, 23.007834665], [120.245582232, 23.007866343], [120.244468099, 23.007916023], [120.244526671, 23.008535283], [120.246112884, 23.008491613]]]"
A6731-58-001,永康區,五王里,2,23.010267715,120.235764426,Polygon,"[[[120.236256351, 23.010792366], [120.236452489, 23.010100304], [120.236423895, 23.01000017], [120.23528016, 23.009746003], [120.235046869, 23.010513837], [120.236256351, 23.010792366]]]"
A6731-60-005,永康區,復國里,2,23.005979243,120.246711444,Polygon,"[[[120.246193457, 23.006581169], [120.247309719, 23.006536334], [120.247276557, 23.006219201], [120.247274429, 23.005394547], [120.24609717, 23.005427715], [120.246193457, 23.006581169]]]"
A6731-61-007,永康區,勝利里,2,23.005147693,120.232475811,Polygon,"[[[120.232025581, 23.005816608], [120.232521694, 23.005811994], [120.233044796, 23.005807501], [120.232909472, 23.00445287], [120.231911229, 23.004506981], [120.232025581, 23.005816608]]]"
A6731-64-001,永康區,中興里,2,23.006190631,120.236924157,Polygon,"[[[120.236300413, 23.006357511], [120.237546095, 23.006471519], [120.237599296, 23.00603779], [120.236257946, 23.005907297], [120.236300413, 23.006357511]]]"
A6731-64-002,永康區,中興里,2,23.005566446,120.236925201,Polygon,"[[[120.237599296, 23.00603779], [120.237663945, 23.005241138], [120.23617391, 23.00510697], [120.236257946, 23.005907297], [120.237599296, 23.00603779]]]"
A6731-64-007,永康區,成功里,2,23.002730074,120.237302837,Polygon,"[[[120.237933399, 23.003598779], [120.238177187, 23.002246652], [120.238089961, 23.001577089], [120.237119302, 23.001527412], [120.23707849, 23.002246177], [120.237061966, 23.002537178], [120.236855566, 23.002531889], [120.236842036, 23.002984383], [120.235982602, 23.003022344], [120.236030701, 23.003685523], [120.236959241, 23.003605667], [120.237590892, 23.003512458], [120.237933399, 23.003598779]]]"
A6731-66-001,永康區,勝利里,5,23.005125387,120.231563489,Polygon,"[[[120.231726766, 23.005820105], [120.232025581, 23.005816608], [120.231911229, 23.004506981], [120.231072691, 23.004586975], [120.231164826, 23.005625403], [120.231722729, 23.005642065], [120.231726766, 23.005820105]]]"
A6731-66-003,永康區,勝利里,2,23.003975876,120.232246068,Polygon,"[[[120.231911229, 23.004506981], [120.232909472, 23.00445287], [120.233399931, 23.004411043], [120.233475346, 23.003537816], [120.233673275, 23.00351476], [120.233651521, 23.003355065], [120.232862052, 23.003479637], [120.232847528, 23.003373541], [120.231812548, 23.003559508], [120.231801, 23.003449355], [120.230979984, 23.003630228], [120.23102953, 23.004452749], [120.231072691, 23.004586975], [120.231911229, 23.004506981]]]"
A6731-66-004,永康區,勝利里,7,23.002871818,120.233427977,Polygon,"[[[120.233651521, 23.003355065], [120.234163029, 23.003300477], [120.234007621, 23.002320785], [120.233340429, 23.002337538], [120.232783077, 23.002413188], [120.232730911, 23.002597975], [120.232847528, 23.003373541], [120.232862052, 23.003479637], [120.233651521, 23.003355065]]]"
