CODE1,TOWN,VILLAGE,COUNT,lat,lon,type,coordinates
A6731-32-004,永康區,東橋里,2,23.018786029,120.232721897,Polygon,"[[[120.232199259, 23.019602558], [120.232300777, 23.019666059], [120.233510142, 23.018228483], [120.233026837, 23.01794255], [120.232160135, 23.019141105], [120.231942556, 23.019452442], [120.232199259, 23.019602558]]]"
A6731-33-002,永康區,大橋里,3,23.020643476,120.231781581,Polygon,"[[[120.231330938, 23.021685277], [120.232345521, 23.020340198], [120.23272196, 23.019900832], [120.232300777, 23.019666059], [120.232199259, 23.019602558], [120.231017109, 23.021240867], [120.230835958, 23.021463086], [120.231330938, 23.021685277]]]"
A6731-33-005,永康區,大橋里,3,23.019507477,120.230146136,Polygon,"[[[120.231254249, 23.019798045], [120.229415445, 23.018686554], [120.229033409, 23.019207687], [120.230872159, 23.020331158], [120.231254249, 23.019798045]]]"
A6731-33-006,永康區,大橋里,2,23.018965913,120.230519287,Polygon,"[[[120.22979154, 23.018134331], [120.229415445, 23.018686554], [120.231254249, 23.019798045], [120.231625123, 23.019256778], [120.230487937, 23.018554413], [120.22979154, 23.018134331]]]"
A6731-33-007,永康區,大橋里,6,23.018787002,120.228937225,Polygon,"[[[120.22979154, 23.018134331], [120.229245524, 23.017799665], [120.228075253, 23.01943099], [120.228636167, 23.019772761], [120.229033409, 23.019207687], [120.229415445, 23.018686554], [120.22979154, 23.018134331]]]"
A6731-33-008,永康區,大橋里,3,23.018460814,120.228259941,Polygon,"[[[120.228075253, 23.01943099], [120.229245524, 23.017799665], [120.228733235, 23.017486215], [120.227861724, 23.01830197], [120.227226933, 23.018763352], [120.227492561, 23.019024661], [120.228075253, 23.01943099]]]"
A6731-35-006,永康區,二王里,2,23.017859823,120.244337717,Polygon,"[[[120.245356764, 23.018645219], [120.245394712, 23.017712454], [120.244795095, 23.01768755], [120.244445467, 23.017443151], [120.244288971, 23.017166374], [120.243881496, 23.016900457], [120.243548732, 23.01685882], [120.243439297, 23.017245298], [120.243632068, 23.018377253], [120.245356764, 23.018645219]]]"
A6731-36-007,永康區,網寮里,2,23.016399019,120.257142312,Polygon,"[[[120.257720375, 23.017224222], [120.258057811, 23.015990832], [120.256590319, 23.015555917], [120.256218522, 23.01682316], [120.257720375, 23.017224222]]]"
A6731-37-006,永康區,安康里,2,23.016683372,120.226032115,Polygon,"[[[120.225723862, 23.016835401], [120.226215622, 23.017022791], [120.226458499, 23.016635221], [120.226007733, 23.016392218], [120.225669876, 23.016430906], [120.225723862, 23.016835401]]]"
A6731-38-004,永康區,大橋里,2,23.016364713,120.22900805,Polygon,"[[[120.231361145, 23.013655788], [120.230806207, 23.013487791], [120.230034003, 23.014716462], [120.229340174, 23.015750075], [120.228557461, 23.016744287], [120.228139254, 23.017167234], [120.227498865, 23.017728678], [120.226740997, 23.018246982], [120.227226933, 23.018763352], [120.227861724, 23.01830197], [120.228733235, 23.017486215], [120.228582438, 23.017394106], [120.228777611, 23.017131539], [120.231361145, 23.013655788]]]"
A6731-40-001,永康區,復華里,2,23.017414516,120.245253131,Polygon,"[[[120.245394712, 23.017712454], [120.246014155, 23.017707199], [120.246009954, 23.017145578], [120.245927057, 23.017145927], [120.244288971, 23.017166374], [120.244445467, 23.017443151], [120.244795095, 23.01768755], [120.245394712, 23.017712454]]]"
A6731-40-002,永康區,復華里,3,23.017430702,120.246391569,Polygon,"[[[120.246014155, 23.017707199], [120.246842002, 23.017693345], [120.246699979, 23.017142672], [120.246009954, 23.017145578], [120.246014155, 23.017707199]]]"
A6731-40-003,永康區,復華里,5,23.016641447,120.246847404,Polygon,"[[[120.246842002, 23.017693345], [120.247422049, 23.017674899], [120.247405347, 23.017051848], [120.247327197, 23.01673341], [120.247135039, 23.016318727], [120.246987625, 23.016024982], [120.246678066, 23.015564511], [120.24608387, 23.015793697], [120.246581894, 23.016820087], [120.246699979, 23.017142672], [120.246842002, 23.017693345]]]"
A6731-40-004,永康區,復華里,2,23.016533496,120.246075936,Polygon,"[[[120.24608387, 23.015793697], [120.245476683, 23.016028855], [120.245842569, 23.016866519], [120.245927057, 23.017145927], [120.246009954, 23.017145578], [120.246699979, 23.017142672], [120.246581894, 23.016820087], [120.24608387, 23.015793697]]]"
A6731-40-010,永康區,復華里,2,23.014280165,120.246212121,Polygon,"[[[120.247075118, 23.013947389], [120.246415863, 23.013368253], [120.246033334, 23.013940451], [120.245354799, 23.014707254], [120.245694183, 23.015175886], [120.24614216, 23.014828005], [120.246882769, 23.014226554], [120.247075118, 23.013947389]]]"
A6731-42-009,永康區,五王里,3,23.012451861,120.236219532,Polygon,"[[[120.236636819, 23.01283894], [120.23672378, 23.012528812], [120.236383787, 23.012453547], [120.236446851, 23.012209445], [120.235884105, 23.012084869], [120.23576449, 23.012513925], [120.236636819, 23.01283894]]]"
A6731-43-004,永康區,復華里,3,23.014566185,120.248097891,Polygon,"[[[120.248523028, 23.014814531], [120.248174748, 23.014103135], [120.248112042, 23.014117161], [120.247648472, 23.014422937], [120.24806141, 23.015002967], [120.248523028, 23.014814531]]]"
A6731-43-005,永康區,復華里,2,23.014645943,120.249585298,Polygon,"[[[120.24962835, 23.012805074], [120.248951529, 23.013076154], [120.248669264, 23.013276869], [120.248867941, 23.014002759], [120.249019211, 23.014641485], [120.249083639, 23.014893615], [120.249164927, 23.015212686], [120.249414609, 23.016179391], [120.249421162, 23.016296423], [120.250490662, 23.016283056], [120.250346417, 23.01545413], [120.24990248, 23.013752472], [120.24962835, 23.012805074]]]"
A6731-44-001,永康區,二王里,2,23.015821314,120.24171087,Polygon,"[[[120.242237361, 23.016423603], [120.242212422, 23.01586143], [120.242765489, 23.015841125], [120.24270812, 23.015219857], [120.242148781, 23.015267122], [120.241663633, 23.015502094], [120.241472377, 23.015519171], [120.241206237, 23.015407914], [120.240882146, 23.015038352], [120.240858188, 23.015717199], [120.240890396, 23.016395419], [120.242237361, 23.016423603]]]"
A6731-44-009,永康區,復華里,2,23.012742793,120.2454375,Polygon,"[[[120.245719057, 23.013143979], [120.245814528, 23.012649809], [120.245826436, 23.012349518], [120.245137296, 23.012368195], [120.245078251, 23.012369893], [120.24509295, 23.01315702], [120.245719057, 23.013143979]]]"
